type,name,latitude,longitude
NHS Hospital,Huddersfield Royal Infirmary,53.65547562,-1.816323161
NHS Hospital,Calderdale Royal Hospital,53.70482254,-1.857493639
NHS Hospital,Nottingham University Hospitals NHS Trust - City Campus,52.99123764,-1.158413172
NHS Hospital,Nottingham University Hospitals NHS Trust - Queen's Medical Centre Campus,52.94380188,-1.185941815
NHS Hospital,Aldrington Centre,50.83014679,-0.184233904
NHS Hospital,Mill View Hospital,50.84204102,-0.189752132
NHS Hospital,The Acre,50.80953217,-0.382770181
NHS Hospital,The Hellingly Centre,50.89032364,0.263305724
NHS Hospital,Amberstone Hospital,50.88183212,0.275532901
NHS Hospital,Langley Green Hospital,51.13195419,-0.189015657
NHS Hospital,"Tees, Esk, Wear Valley NHS Trust (Durham)",54.54348755,-1.591122627
NHS Hospital,"Auckland Park Hospital, Bishop Auckland",54.65484238,-1.680740595
NHS Hospital,"West Lane Hospital, Middlesbrough",54.56212616,-1.257134318
NHS Hospital,"West Park Hospital, Darlington",54.54348755,-1.591122627
NHS Hospital,"Sandwell Park Hospital, Hartlepool",54.69326782,-1.212324739
NHS Hospital,"Cross Lane Hospital, Scarborough",54.29606247,-0.424973875
NHS Hospital,Hopewood Park,54.86393738,-1.369304776
NHS Hospital,Northgate Hospital,55.18491364,-1.711871028
NHS Hospital,Ferndene,54.94983292,-1.841312885
NHS Hospital,St George's Park,55.17856216,-1.682789326
NHS Hospital,St Nicholas Hospital,55.0064888,-1.633084178
NHS Hospital,Monkwearmouth Hospital,54.9245491,-1.386769295
